LOCATION,INDICATOR,SUBJECT,MEASURE,TIME_PERIOD,OBS_VALUE,ccodealp_year
ARG,PENSIONASSET,TOT,PC_GDP,2013,0.0,ARG13
ARG,PENSIONASSET,TOT,MLN_USD,2013,0.0,ARG13
ARG,PENSIONASSET,TOT,MLN_USD,2014,0.0,ARG14
SVK,PENSIONASSET,TOT,PC_GDP,2001,0.0,SVK01
SWE,PENSIONASSET,TOT,PC_GDP,1999,0.0,SWE99
SWE,PENSIONASSET,TOT,PC_GDP,1998,0.0,SWE98
SWE,PENSIONASSET,TOT,MLN_USD,1995,0.0,SWE95
ARG,PENSIONASSET,TOT,PC_GDP,2012,0.0,ARG12
USA,PENSIONASSET,TOT,PC_GDP,1981,27.814,USA81
USA,PRIVPENSIONASSET,TOT,MLN_USD,1981,1098200.0,USA81
USA,PENSIONASSET,TOT,MLN_USD,1981,863728.0,USA81
USA,PENSIONASSET,TOT,PC_GDP,1980,28.809,USA80
USA,PENSIONASSET,TOT,MLN_USD,1982,1046201.0,USA82
USA,PENSIONASSET,TOT,PC_GDP,1989,49.129,USA89
USA,PRIVPENSIONASSET,TOT,MLN_USD,1989,3677074.21,USA89
USA,PENSIONASSET,TOT,MLN_USD,1989,2673464.21,USA89
USA,PENSIONASSET,TOT,PC_GDP,1988,45.476,USA88
USA,PRIVPENSIONASSET,TOT,MLN_USD,1988,3167465.14,USA88
USA,PENSIONASSET,TOT,MLN_USD,1990,2740748.23,USA90
NLD,PENSIONASSET,TOT,MLN_USD,1993,273156.054,NLD93
NLD,PENSIONASSET,TOT,MLN_USD,1994,280228.328,NLD94
CHE,PENSIONASSET,TOT,PC_GDP,1994,75.456,CHE94
NLD,PENSIONASSET,TOT,PC_GDP,1994,77.177,NLD94
ZAF,NPENSIONWEALTH,MEN,MULTAGEARN,2022,1.6,ZAF22
SAU,NPENSIONWEALTH,MEN,MULTAGEARN,2022,19.4,SAU22
OAVG,NPENSIONWEALTH,MEN,MULTAGEARN,2022,12.3,OAVG22
LTU,PENSIONASSET,TOT,MLN_USD,2022,6231.369,LTU22
AUS,PRIVPENSIONASSET,TOT,MLN_USD,2022,2089040.942,AUS22
ROU,NPENSIONWEALTH,MEN,MULTAGEARN,2022,13.5,ROU22
LTU,NPENSIONWEALTH,MEN,MULTAGEARN,2022,5.2,LTU22
SRB,PENSIONASSET,TOT,PC_GDP,2022,0.681,SRB22
ZMB,PENSIONASSET,TOT,PC_GDP,2022,2.889,ZMB22
SVN,PENSIONASSET,TOT,PC_GDP,2022,6.355,SVN22
PAK,PENSIONASSET,TOT,PC_GDP,2022,0.065,PAK22
PAK,PENSIONASSET,TOT,MLN_USD,2022,193.504,PAK22
NGA,PENSIONASSET,TOT,PC_GDP,2022,7.409,NGA22
NGA,PENSIONASSET,TOT,MLN_USD,2022,32592.674,NGA22
MLT,PENSIONASSET,TOT,PC_GDP,2022,39.766,MLT22
CHN,PENSIONASSET,TOT,MLN_USD,2022,410821.643,CHN22
KOR,PENSIONASSET,TOT,MLN_USD,2022,265051.685,KOR22
FRA,PENSIONASSET,TOT,MLN_USD,2022,242331.52,FRA22
SRB,PRIVPENSIONASSET,TOT,MLN_USD,2022,438.165,SRB22
ROU,PRIVPENSIONASSET,TOT,MLN_USD,2022,21594.378,ROU22
PER,PRIVPENSIONASSET,TOT,MLN_USD,2022,27756.361,PER22
NGA,PRIVPENSIONASSET,TOT,MLN_USD,2022,32592.674,NGA22
MLT,PRIVPENSIONASSET,TOT,MLN_USD,2022,7311.616,MLT22
EST,PRIVPENSIONASSET,TOT,MLN_USD,2022,5031.586,EST22
JPN,PRIVPENSIONASSET,TOT,MLN_USD,2022,1572415.162,JPN22
LTU,GPENSIONWEALTH,MEN,MULTAGEARN,2022,3.3,LTU22
CYP,GPENSIONWEALTH,MEN,MULTAGEARN,2022,11.0,CYP22
ROU,NPENSION,MEN,PC_PRERETEARN,2022,72.6,ROU22
CYP,NPENSION,MEN,PC_PRERETEARN,2022,72.0,CYP22
LVA,GPENSION,WOMEN,PC_PRERETEARN,2022,39.8,LVA22
CHL,GPENSION,MEN,PC_PRERETEARN,2022,37.1,CHL22
CRI,NPENSIONWEALTH,WOMEN,MULTAGEARN,2022,14.9,CRI22
GEO,PRIVPENSIONASSET,TOT,MLN_USD,2022,1103.525,GEO22
KEN,PENSIONASSET,TOT,MLN_USD,2022,12797.406,KEN22
KEN,PRIVPENSIONASSET,TOT,MLN_USD,2022,12797.406,KEN22
JAM,PENSIONASSET,TOT,MLN_USD,2022,4656.714,JAM22
DOM,PENSIONASSET,TOT,MLN_USD,2022,15742.321,DOM22
LSO,PENSIONASSET,TOT,PC_GDP,2022,6.671,LSO22
HRV,NPENSIONWEALTH,MEN,MULTAGEARN,2022,12.0,HRV22
SGP,PRIVPENSIONASSET,TOT,MLN_USD,2022,400746.914,SGP22
MYS,PENSIONASSET,TOT,PC_GDP,2022,0.302,MYS22
GHA,PENSIONASSET,TOT,PC_GDP,2022,5.6,GHA22
IDN,NPENSION,MEN,PC_PRERETEARN,2022,55.8,IDN22
IND,NPENSION,MEN,PC_PRERETEARN,2022,44.2,IND22
CHN,NPENSION,MEN,PC_PRERETEARN,2022,88.3,CHN22
BRA,NPENSION,MEN,PC_PRERETEARN,2022,96.9,BRA22
ARG,NPENSION,MEN,PC_PRERETEARN,2022,90.1,ARG22
OAVG,GPENSION,WOMEN,PC_PRERETEARN,2022,50.1,OAVG22
ZAF,GPENSION,WOMEN,PC_PRERETEARN,2022,8.0,ZAF22
ARG,NPENSIONWEALTH,MEN,MULTAGEARN,2022,17.6,ARG22
OAVG,GPENSIONWEALTH,WOMEN,MULTAGEARN,2022,11.2,OAVG22
ZAF,GPENSIONWEALTH,WOMEN,MULTAGEARN,2022,1.7,ZAF22
SAU,GPENSIONWEALTH,WOMEN,MULTAGEARN,2022,18.0,SAU22
IDN,NPENSION,WOMEN,PC_PRERETEARN,2022,51.7,IDN22
SAU,GPENSION,WOMEN,PC_PRERETEARN,2022,59.6,SAU22
EGY,PENSIONASSET,TOT,PC_GDP,2022,1.588,EGY22
EGY,PENSIONASSET,TOT,MLN_USD,2022,5044.999,EGY22
SVN,NPENSIONWEALTH,MEN,MULTAGEARN,2022,15.8,SVN22
LTU,NPENSIONWEALTH,WOMEN,MULTAGEARN,2022,5.9,LTU22
ISR,NPENSIONWEALTH,WOMEN,MULTAGEARN,2022,9.8,ISR22
EST,NPENSIONWEALTH,WOMEN,MULTAGEARN,2022,6.5,EST22
CYP,NPENSIONWEALTH,WOMEN,MULTAGEARN,2022,13.4,CYP22
USA,NPENSIONWEALTH,MEN,MULTAGEARN,2022,9.5,USA22
GBR,NPENSIONWEALTH,MEN,MULTAGEARN,2022,11.3,GBR22
TUR,NPENSIONWEALTH,MEN,MULTAGEARN,2022,17.9,TUR22
CHE,NPENSIONWEALTH,MEN,MULTAGEARN,2022,10.6,CHE22
SWE,NPENSIONWEALTH,MEN,MULTAGEARN,2022,11.6,SWE22
ESP,NPENSIONWEALTH,MEN,MULTAGEARN,2022,21.6,ESP22
SVK,NPENSIONWEALTH,MEN,MULTAGEARN,2022,11.6,SVK22
PRT,NPENSIONWEALTH,MEN,MULTAGEARN,2022,17.2,PRT22
POL,NPENSIONWEALTH,MEN,MULTAGEARN,2022,7.4,POL22
NOR,NPENSIONWEALTH,MEN,MULTAGEARN,2022,11.6,NOR22
NZL,NPENSIONWEALTH,MEN,MULTAGEARN,2022,10.7,NZL22
NLD,NPENSIONWEALTH,MEN,MULTAGEARN,2022,16.8,NLD22
MEX,NPENSIONWEALTH,MEN,MULTAGEARN,2022,11.0,MEX22
LUX,NPENSIONWEALTH,MEN,MULTAGEARN,2022,22.9,LUX22
KOR,NPENSIONWEALTH,MEN,MULTAGEARN,2022,7.1,KOR22
JPN,NPENSIONWEALTH,MEN,MULTAGEARN,2022,8.2,JPN22
GRC,NPENSIONWEALTH,WOMEN,MULTAGEARN,2022,19.5,GRC22
DEU,NPENSIONWEALTH,WOMEN,MULTAGEARN,2022,13.6,DEU22
FRA,NPENSIONWEALTH,WOMEN,MULTAGEARN,2022,16.8,FRA22
FIN,NPENSIONWEALTH,WOMEN,MULTAGEARN,2022,13.3,FIN22
FIN,NPENSIONWEALTH,MEN,MULTAGEARN,2022,11.8,FIN22
DNK,NPENSIONWEALTH,MEN,MULTAGEARN,2022,11.7,DNK22
CZE,NPENSIONWEALTH,MEN,MULTAGEARN,2022,12.0,CZE22
CAN,NPENSIONWEALTH,MEN,MULTAGEARN,2022,9.2,CAN22
BEL,NPENSIONWEALTH,MEN,MULTAGEARN,2022,11.7,BEL22
AUT,NPENSIONWEALTH,MEN,MULTAGEARN,2022,17.7,AUT22
AUS,NPENSIONWEALTH,MEN,MULTAGEARN,2022,10.6,AUS22
IRL,NPENSIONWEALTH,WOMEN,MULTAGEARN,2022,9.0,IRL22
ISL,NPENSIONWEALTH,WOMEN,MULTAGEARN,2022,10.5,ISL22
HUN,NPENSIONWEALTH,WOMEN,MULTAGEARN,2022,16.0,HUN22
ISR,PENSIONASSET,TOT,PC_GDP,2022,58.106,ISR22
