year_x,wdi_gdpgr,wdi_gdpcapcon2015,wdi_gdpcappppcon2017,wdi_inflation,wdi_fertility,oecd_houswealth_t1a,oecd_houswealth_t1f,oecd_emplage_t1a,wdi_lfpyne,oecd_taxapw_t1,kun_wiqreco_all,nrmi_nrpi,kun_wiqreco_full,OECD_PPA,OECD_PFA_USD,OECD_PFA_PC_GDP
2001,2.041417338161608,46232.03824709892,38779.6000002663,4.4071353620147,1.739,19.56254,47.35352,61.14346,70.67,27.630069,16.0,,16.0,263407.725,263407.725,73.424
2002,3.993589864816528,47534.54520949213,39872.1475260579,2.98157453936349,1.756,19.5627,46.47713,61.0159,69.98,27.973221,20.0,,19.0,292622.88,292622.88,68.529
2003,3.111398207894098,48453.01380054799,40642.5622844033,2.73259596616783,1.748,19.47675,46.42478,61.8184,70.22,28.246566,14.0,,14.0,358915.039,358915.039,66.997
2004,4.216633272526082,49959.07241113333,41905.84966497042,2.34325522482587,1.768,18.07779,47.36243,62.16285,70.14,28.192745,11.0,,10.0,442936.375,415174.116,69.783
2005,3.153752710411425,50911.13414497463,42704.44247233475,2.69183168316831,1.807,17.21587,48.85759,63.28848,70.81,28.50802,12.0,,10.0,583888.268,549124.554,77.739
2006,2.74063570365783,51605.31460151205,43286.72353657514,3.55528773727028,1.908,16.57807,51.1739,63.69736,70.8,28.281561,11.0,,9.0,678162.183,645868.776,86.987
2007,3.777916782664775,52586.40938961267,44109.66937429788,2.32761128891476,1.959,16.55402,53.78808,64.13256,70.76,27.697401,8.0,,7.0,1014340.569,977970.414,105.884
2008,3.568270032258198,53382.31005947564,44777.27371941166,4.35029854990047,1.984,21.78497,49.43645,64.51452,70.75,26.931992,9.0,,8.0,1095339.382,1058376.109,93.245
2009,1.870486960914079,53271.59018936856,44684.40149405388,1.77111716621252,1.971,20.57404,53.0221,61.18265,69.1,26.748796,9.0,,8.0,867428.773,839274.965,82.01
2010,2.206566310170928,53606.58144490611,44965.39336432145,2.91834002677376,1.928,21.59504,53.17834,60.52081,68.43,26.829039,13.0,60.8689096535782,12.0,1017081.539,986838.568,88.791
2011,2.3913851323057,54131.10470908579,45405.36536527466,3.30385015608744,1.926,23.12665,52.03177,60.38575,68.14,26.650257,,63.1173380206618,,1437783.991,1397418.348,91.741
2012,3.902007806317997,55269.91928012932,46360.60712432289,1.76278015613193,1.92,22.03436,54.90641,59.60047,67.52,27.273247,,67.9142150639682,,1426024.236,1383455.627,90.491
2013,2.578754288253421,55727.73414732151,46744.62388190121,2.44988864142539,1.855,22.08017,55.25633,58.65664,66.82,27.415207,,73.7239301149771,,1482945.643,1440897.935,101.174
2014,2.579017111775968,56318.6359789436,47240.27446402035,2.48792270531403,1.826,22.15061,55.27889,57.70333,66.56,27.662194,,79.1281976321018,,1681786.338,1634817.606,108.562
2015,2.152735905939096,56708.96119674003,47567.68066089321,1.50836672165921,1.814,22.38787,55.27685,58.44546,67.26,28.344366,,80.9140507462729,,1517612.539,1474532.758,118.275
2016,2.730547992098934,57354.54981376824,48109.20271534535,1.27699094497328,1.752,21.99298,56.17197,58.34512,66.79,28.570916,,82.5805034201688,,1532849.39,1492331.807,121.24
2017,2.282183642484654,57701.52385280859,48400.2457875228,1.94864740944522,1.741,21.68571,56.33087,58.47233,66.89,28.616701,,86.30361004333,,1838864.755,1797033.283,132.829
2018,2.883045123476833,58479.50354678049,49052.8179535889,1.91140094445692,1.74,22.04634,55.72875,59.8588,67.85,28.889201,,87.0061045098318,,1858709.877,1819389.757,133.593
2019,2.171396224483502,58868.48063412288,49379.09333378703,1.61076787290379,1.657,,,,68.12,,,87.9099284609859,,1825932.3,1825932.3,135.628
2020,-0.0508853360838941,58115.93066751095,48747.85171451329,0.846905537459293,1.581,,,,66.24,,,88.4157304846941,,1797259.146,1797259.146,132.296
2021,2.236212439444614,59339.68434536045,49774.34070191666,2.86391042204995,1.7,,,,68.58,,,90.8610594564182,,2317141.565,2317141.565,148.149
2022,3.617588572302026,60797.95864758662,50997.54643272923,6.59409671341847,,,,,71.58,,,90.8610594564182,,2089040.942,2089040.942,131.385
2009,-3.764578177916775,42655.19213048132,51030.72467781859,0.506308827696486,1.39,43.22541,6.643764,53.15,58.47,47.948742,17.0,,15.0,20836.057,20259.309,4.882
2010,1.837093676800535,43334.50896446905,51843.42832754528,1.81353438995065,1.44,41.88396,6.592261,52.75,57.22,48.168771,17.0,100.0,15.0,20914.865,20332.843,5.143
2011,2.92279728368581,44451.00019184727,53179.14746474319,3.28657914875376,1.43,42.60176,6.835825,53.9,58.0,48.539773,,100.0,,19745.146,19103.229,4.761
2012,0.680445576816723,44549.88169823101,53297.44478509193,2.48567562177017,1.44,41.77488,7.006296,53.675,58.15,48.839612,,100.0,,22257.271,21513.655,5.117
2013,0.0255047121972183,44299.37818454464,52997.7538166712,2.00015616900603,1.44,40.65061,7.139194,53.075,57.74,49.183759,,100.0,,25993.714,25172.809,5.635
2017,1.619580278387801,41825.76283164317,50442.27054196237,2.12597086002609,1.65,29.72945,7.07556,22.7,28.08,53.760736,,86.3633701786924,,190734.734,40878.801,7.659
2018,1.792945193020756,42382.31827632475,51113.48173840206,2.05316499865181,1.62,31.95111,7.229517,24.975,29.63,52.672262,,86.4613426096982,,180379.144,35212.596,6.685
2019,2.261568321273842,43107.214821718,51987.71391450948,1.43681956996435,1.6,,,,30.98,,,86.8216530410829,,187122.415,45376.154,8.438
2020,-5.362585920064376,40620.10421511588,48988.23470378974,0.740791812220385,1.55,,,,28.43,,,90.5235208908582,,223701.966,52819.82,9.361
2000,5.177635668241138,37923.48646302249,41338.64701791421,2.71943995691972,1.51,20.62461,,56.23333,64.39,32.893949,10.0,,10.0,815310.683,402773.102,55.561
2001,1.789972879913734,38185.21967123814,41623.9503409049,2.52512013979907,1.54,21.76476,,56.34167,64.66,31.531028,10.0,,10.0,741658.262,365098.117,50.809
2002,3.018050512249729,38912.20974022862,42416.40875257624,2.25839440940856,1.52,23.73206,,57.46667,66.53,31.708589,12.0,,12.0,721407.733,352948.048,46.646
2003,1.801518135989568,39257.76189639007,42793.07925263076,2.75856321360112,1.55,23.17688,,58.15,67.33,31.670832,12.0,,12.0,974754.346,482758.203,49.882
2004,3.086980809151328,40093.80734043596,43704.41390895375,1.85725871857261,1.56,22.83724,,57.83333,66.84,31.856013,14.0,,13.0,1176362.213,579003.644,52.103
2005,3.204200428271292,40989.52682394749,44680.79648896932,2.21355203439764,1.58,21.28194,,57.7,65.87,31.852046,13.0,,11.0,1372018.985,687574.445,56.25
2006,2.634303813783845,41646.41463686652,45396.83965802517,2.00202539534156,1.63,20.88143,,58.51667,67.15,31.74384,10.0,,8.0,1535715.274,786261.867,61.226
2007,2.071825031109697,42098.43121969691,45889.56212915369,2.13838399266843,1.67,21.12331,,59.48333,67.98,31.25298,9.0,,8.0,1951002.26,962997.619,60.509
2008,1.004289198598343,42063.24011734,45851.20192828128,2.37027067444294,1.7,24.70779,,59.53333,68.27,31.255424,8.0,,7.0,1391903.489,676981.486,49.761
2009,-2.925955647320094,40368.93150946273,44004.31410195377,0.299466803009284,1.69,23.72202,,55.31667,66.43,30.515127,7.0,,6.0,1711493.834,875691.741,58.571
2010,3.089919461525952,41156.14518567187,44862.41949582928,1.77687154092629,1.65,22.90635,,54.88334,65.58,30.391521,8.0,52.8512927040139,7.0,2068887.311,1054138.669,62.93
2011,3.146100491236311,42037.51874148552,45823.16424038832,2.91213508872355,1.63,23.66661,,55.31667,65.61,30.641166,,53.2408425360049,,2157881.809,1076272.173,61.698
2012,1.760961587768591,42315.80738915577,46126.51388590021,1.51567823124521,1.63,23.10882,,54.325,65.04,30.789629,,54.5276745910926,,2324631.772,1199562.921,65.315
2013,2.329122506210197,42846.28419579576,46704.76223556771,0.93829189781521,1.61,22.03344,,55.075,65.31,31.007601,,55.5364459517073,,2405772.471,1260630.5,70.485
2014,2.87003607545671,43635.09548113708,47564.60910962205,1.90663590717873,1.61,20.91125,,55.55,65.37,31.582646,,57.6508209830285,,2446199.466,1297507.973,75.454
2015,0.6591768635588693,43596.13553655462,47522.14066731514,1.12524136094279,1.6,21.17578,,55.775,65.48,31.539446,,57.8177315649851,,2225731.936,1195695.809,83.14
2016,1.001394413904052,43536.9134032467,47457.58534572437,1.4287595470108,1.59,21.0699,,55.375,64.78,31.373907,,59.2937674931176,,2378020.407,1289361.734,85.47
2017,3.039880225281948,44325.48833674632,48317.17458351508,1.5968841285297,1.55,20.42971,,56.48333,65.27,30.602363,,59.7302859469418,,2721976.086,1469889.199,86.141
2018,2.77704055379553,44917.4837282326,48962.48151089227,2.268225672481,1.51,22.00047,,56.30833,64.84,30.712254,,59.9762550111347,,2524309.068,1372822.374,83.763
2019,1.888223585351412,45113.06628178024,49175.67705006959,1.94926902411596,1.47,,,,65.77,,,61.5429356571653,,2814496.516,1597002.833,90.143
2020,-5.074357567597318,42366.487144598,46181.75755457564,0.716999632307852,1.41,,,,62.2,,,63.0314927399553,,3081679.371,1729465.619,100.621
2021,5.011800875327438,44234.54213557355,48218.03831576798,3.39519318527532,1.43,,,,64.18,,,63.1854894163476,,3218436.067,1768266.615,90.646
2022,3.39620227946682,44910.44172828012,48954.8053508794,6.80280115341612,,,,,65.27,,,63.1854894163476,,3126434.61,1579483.202,77.213
2001,3.154034924599671,8722.575535880618,15725.60115943557,3.56910053001465,1.961,,,,37.06,7.0,22.0,,20.0,35384.581,35384.581,51.134
2002,3.202799135201133,8904.538117843314,16053.6546085706,2.48939816650703,1.935,,,,36.31,7.0,19.0,,18.0,35825.852,35825.852,52.699
